"Processor","Word","Data_Type","ProcessValue","SignalName","Percentage","Percentage_value"
"MNGR","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"MNGR","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"MNGR","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"MNGR","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"MNGR","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"MNGR","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
"DIA","4","Integer","Node number FLG 1","FLGM_07-XNodeMSC","",""
"DIA","5","Integer","Node number SLG 1","FLGM_21-XNodeB1","",""
"DIA","6","Integer","Node number SLG 2","FLGM_21-XNodeB2","",""
"DIA","7","Analog","Battery voltage","FLGM_21-XU-Battery","10%=30 V","100 V"
"DIA","8","Analog","Actual Speed","FLGM_50-XSpedTrai+-","100%=160(100)km/h","100 km/h"
"DIA","10","Analog","Actual Value Tractive- Braking Effort","FLGM_46-XTE/BE-Loco","100% = 100 kN","100 kN"
"DIA","11","Analog","Primary Current","FLGM_21-Xiprim","100% = 1000 A","1000 A"
"DIA","12","Analog","Primary Voltage","FLGM_21-Xuprim","100% = 25kV","25 kV"
"DIA","13","Analog","Braking Pressure","FLGM_45-XPrAutoBkLn","100% = 10Kg/cm sq","10 Kg/cmsq"
"DIA","9","Analog","Ref.Value Tractive- Braking Effort","FLGM_53-WTE/BE-Loco","100% = 100 kN","100 kN"
